Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,143329.46875,143757.359375,145334.4375,144140.421875,145031.65625,143757.21875,144369.75,144386.208333333,145625.765625,144423.46875,145518.4375,145189.223958333
2,144486.703125,144534.953125,144386.46875,144469.375,145298.015625,145188.25,145285.359375,145257.208333333,144985.140625,144394.53125,144673.296875,144684.322916667
4,144830.015625,144235.328125,143999,144354.78125,145046.09375,144881.921875,144594.015625,144840.677083333,145484.15625,145515.90625,143975.96875,144992.010416667
6,144600.796875,145354.25,143839.515625,144598.1875,142736.359375,143433.53125,144983.0625,143717.651041667,144528.78125,144966.3125,144426.234375,144640.442708333
8,146020.4375,144846.25,145388.890625,145418.526041667,144512.46875,143798.0625,144660.171875,144323.567708333,145134.84375,143326.5625,144686.5625,144382.65625
10,145037.125,144918.40625,145198.890625,145051.473958333,145889.125,145367.421875,144316.515625,145191.020833333,144717.625,144364.328125,143738.953125,144273.635416667
12,144586.78125,143649.3125,144472.609375,144236.234375,144879.359375,145977.453125,143865.3125,144907.375,143708.1875,144894.484375,144794.34375,144465.671875
14,144894.078125,144465.96875,144202.359375,144520.802083333,144205.1875,144643.265625,144196.953125,144348.46875,144321.21875,144528.515625,144109.4375,144319.723958333
16,143458.40625,144993.78125,144303.078125,144251.755208333,144721.5,143701.0625,144699.234375,144373.932291667,143223.796875,144387.984375,144822.625,144144.802083333
18,145388.140625,143857.65625,145752.1875,144999.328125,144256.21875,143739.59375,143834.15625,143943.322916667,143865.40625,145099.5625,143383.25,144116.072916667
20,144420.734375,144674.734375,144145.90625,144413.791666667,144465.5625,146233.609375,144879.09375,145192.755208333,144571.4375,143693.015625,145202.3125,144488.921875
22,144174.65625,143383.203125,145065.40625,144207.755208333,144309.359375,144962.703125,143578.296875,144283.453125,144964.1875,143952.484375,145634.71875,144850.463541667
24,144055.140625,144739.53125,144313,144369.223958333,145003.1875,144071.203125,144663.984375,144579.458333333,143992.09375,144300.15625,144739.796875,144344.015625
26,144717.9375,144810.5,145214.953125,144914.463541667,145005.359375,144761.28125,144644.65625,144803.765625,144316.3125,143703.375,144770.078125,144263.255208333
28,144038.4375,146579.34375,143298.640625,144638.807291667,145158.171875,144656.3125,144216.9375,144677.140625,145401.0625,144967.5,144323.40625,144897.322916667
30,146269.375,144168.796875,145305.21875,145247.796875,144648.203125,144834.1875,144235.0625,144572.484375,143609.078125,144793.609375,144783.703125,144395.463541667
32,144704.359375,144641.953125,144631.515625,144659.276041667,143532.9375,145078.71875,143528.03125,144046.5625,145242.171875,144878.15625,144116.4375,144745.588541667
34,143577.8125,145090.703125,145589.296875,144752.604166667,145291.09375,144733.21875,145244.3125,145089.541666667,144625.078125,144849.015625,144548.875,144674.322916667
36,144828.65625,144337.390625,144003.484375,144389.84375,145139.859375,145363.953125,144727.734375,145077.182291667,145876.734375,144068.46875,144656.703125,144867.302083333
38,145717,144362.375,143983.015625,144687.463541667,144106.984375,145792.46875,144224.453125,144707.96875,144341.09375,144333.5625,145358.6875,144677.78125
40,144305.65625,144370.578125,143835.953125,144170.729166667,145071.671875,145248.921875,144433.28125,144917.958333333,144607.09375,145169.125,145138.140625,144971.453125
42,145234.875,145506.421875,144243.546875,144994.947916667,144549.171875,145152.6875,143570.375,144424.078125,143939.6875,144571.21875,144971.734375,144494.213541667
44,145937.296875,143636.25,144173.734375,144582.427083333,144784.21875,144167.53125,145819,144923.583333333,144892.3125,144347.96875,143123.703125,144121.328125
46,143349.75,145370.953125,144895.90625,144538.869791667,144139.5625,144920.234375,143996.8125,144352.203125,144285.640625,144906.15625,145186.5625,144792.786458333
48,144742.984375,142266.609375,145566.65625,144192.083333333,143933.453125,143667.25,144715.828125,144105.510416667,146013.25,145328.53125,145693.296875,145678.359375
50,143919.125,143387.90625,144289.140625,143865.390625,145306.078125,144100.796875,145034.90625,144813.927083333,145582.4375,144817.6875,144783.578125,145061.234375
52,144534.296875,144340.75,145353.6875,144742.911458333,145921.53125,143809.078125,144991.5625,144907.390625,144328.421875,144910.359375,143574.328125,144271.036458333
54,144085.9375,145061.96875,144859.28125,144669.0625,144051,145594.203125,144557.28125,144734.161458333,144567.6875,145283.765625,143647.765625,144499.739583333
56,145526.96875,144268.28125,145474.78125,145090.010416667,144004.59375,144184.390625,144786.421875,144325.135416667,144249.59375,144796.265625,145620.34375,144888.734375
58,144521.5625,144682.25,145674.71875,144959.510416667,145479.40625,145805.8125,145743.984375,145676.401041667,144698.71875,144355.71875,145865.78125,144973.40625
60,145588.96875,144790.015625,143625.265625,144668.083333333,145647.453125,144483.796875,143801.96875,144644.40625,144674.625,144391.5,145333.296875,144799.807291667
62,144596.328125,144790.765625,143700.1875,144362.427083333,144893.6875,144064.40625,145789.90625,144916,145491.03125,145034.1875,144248.875,144924.697916667
64,144331.3125,144783.390625,144859.609375,144658.104166667,144392.65625,145308.4375,143864.234375,144521.776041667,145444.75,143872.46875,145052.203125,144789.807291667
66,143830.84375,144251.75,145282.609375,144455.067708333,145544.296875,144182.78125,144349.875,144692.317708333,144735.953125,144903.25,144684.265625,144774.489583333
68,145348.109375,143199.46875,144994.921875,144514.166666667,144274.859375,145716.25,146293.875,145428.328125,144959,144920.5625,144815.171875,144898.244791667
70,146058.890625,144514.3125,144746.453125,145106.552083333,143631.59375,146192.4375,143722.25,144515.427083333,144750.28125,144955.1875,144352.46875,144685.979166667
72,143636.921875,144768.734375,144146.8125,144184.15625,144685,143961.46875,143218.96875,143955.145833333,144304.921875,145520.765625,145530.953125,145118.880208333
74,144828.40625,145530.6875,144971.1875,145110.09375,144870.5625,145431.96875,146488.90625,145597.145833333,145167.546875,144868.484375,145656.265625,145230.765625
76,145216.078125,144222.1875,144448.046875,144628.770833333,145841.109375,145258.640625,145014.734375,145371.494791667,144644.640625,143550.53125,144654.28125,144283.151041667
78,144382.390625,146459.0625,143711.703125,144851.052083333,144657.171875,144377.109375,145700.578125,144911.619791667,143554.25,143708.828125,142892.609375,143385.229166667
80,145331.828125,145721.640625,145138.4375,145397.302083333,144077.015625,145437.375,144999.203125,144837.864583333,144734.953125,145403.515625,144049.953125,144729.473958333
82,145989.28125,143535.125,145030.171875,144851.526041667,145007.484375,145420.46875,143377.59375,144601.848958333,144652.25,144678.53125,145010.265625,144780.348958333
84,144137.109375,145412.09375,144821.5,144790.234375,146193.875,144624.84375,144514.28125,145111,143707.40625,143953.09375,144192.21875,143950.90625
86,144437.46875,144481.96875,144650.4375,144523.291666667,144375.96875,144400.78125,144231.65625,144336.135416667,145017.84375,145069.328125,145568.921875,145218.697916667
