Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,-704962.375,-704924,-701770.125,-703885.5,-703283.875,-703069,-702579.625,-702977.5,-702884.6875,-702634.9375,-702674.125,-702731.25
0.002,-700559.5625,-705287.6875,-703300.375,-703049.208333333,-702448.5625,-701150.3125,-702757.0625,-702118.645833333,-703490.875,-704672.5625,-702792.8125,-703652.083333333
0.004,-704198.1875,-703761.25,-701774.5625,-703244.666666667,-702570.4375,-702672.9375,-704101.9375,-703115.104166667,-703392.8125,-703467.625,-704039.375,-703633.270833333
0.006,-705089,-701867.3125,-704280.75,-703745.6875,-703604.5625,-705118.9375,-701073.1875,-703265.5625,-702670,-704006.25,-704637,-703771.083333333
0.008,-701339.375,-701795.75,-704978.5625,-702704.5625,-701763.25,-703475.5625,-704718.375,-703319.0625,-704000.125,-702994.4375,-703205.125,-703399.895833333
0.01,-702150.875,-704283.875,-702975.6875,-703136.8125,-703870.25,-703325.0625,-704528.125,-703907.8125,-703471.625,-703980.625,-704232.875,-703895.041666667
0.012,-702384.25,-703604.3125,-701351.5625,-702446.708333333,-701927.375,-702253.4375,-704303.1875,-702828,-704679.5,-702840.8125,-702446.125,-703322.145833333
0.014,-701765.5625,-702681.75,-703524.3125,-702657.208333333,-702568.125,-704875.9375,-702294.4375,-703246.166666667,-704645.5,-703419.5,-705425.5,-704496.833333333
0.016,-704228.0625,-702976.75,-703158.5625,-703454.458333333,-702322.5,-703883.4375,-703515.25,-703240.395833333,-705702.5625,-703177.3125,-701668.875,-703516.25
0.018,-702923.9375,-702616.875,-702455,-702665.270833333,-702860.5,-703017.875,-703105.125,-702994.5,-704060.25,-702751.25,-703104.375,-703305.291666667
0.02,-704177.375,-702566.0625,-704492.125,-703745.1875,-702284.0625,-702747.25,-703774.4375,-702935.25,-703610.75,-702488.6875,-703988.8125,-703362.75
0.022,-703246.125,-701824.6875,-701720.5625,-702263.791666667,-702634.3125,-701694.0625,-702732.75,-702353.708333333,-702960.875,-705105.75,-704054.625,-704040.416666667
0.024,-704654.1875,-703249.6875,-703010.375,-703638.083333333,-702730.75,-702546.25,-704943,-703406.666666667,-704479.5,-704349.0625,-704336.8125,-704388.458333333
0.026,-703818.8125,-702215.75,-702651,-702895.1875,-701321.125,-702290.125,-700602.125,-701404.458333333,-704867.875,-703493.0625,-703460.125,-703940.354166667
0.028,-704382.1875,-702375.75,-704169.125,-703642.354166667,-701228.6875,-704257.6875,-704305,-703263.791666667,-703766.125,-703128.375,-702971,-703288.5
0.03,-701440.6875,-703974.6875,-701908.0625,-702441.145833333,-702910.1875,-703999.4375,-703611.8125,-703507.145833333,-706274.75,-704360.625,-704216.0625,-704950.479166667
0.032,-702882.75,-703283.1875,-703714,-703293.3125,-703218.625,-702842.375,-702552.5,-702871.166666667,-702618.25,-703723.625,-704610.6875,-703650.854166667
0.034,-702931.3125,-703617.5,-705197.1875,-703915.333333333,-702061.25,-703023.1875,-703730.9375,-702938.458333333,-703037.875,-703614.625,-703482.9375,-703378.479166667
0.036,-702933.5625,-701975.1875,-701951,-702286.583333333,-703162.375,-703658.4375,-702992.5,-703271.104166667,-702849.125,-705579.0625,-704465.75,-704297.979166667
0.038,-703226.375,-701509.8125,-702842.25,-702526.145833333,-702730.8125,-702110.9375,-702079.375,-702307.041666667,-703214.375,-702925.125,-702088.1875,-702742.5625
0.04,-703005.75,-703824.5,-703053.25,-703294.5,-704158.3125,-703492.4375,-703411.1875,-703687.3125,-704081.375,-705765.1875,-703200.75,-704349.104166667
0.042,-702518.3125,-703058.75,-703417.0625,-702998.041666667,-703914.25,-703192.8125,-701963.625,-703023.5625,-705413.625,-703856.3125,-702317.6875,-703862.541666667
0.044,-703313,-702068.3125,-703269.625,-702883.645833333,-702897.1875,-703851.9375,-702801.375,-703183.5,-702930,-703096.8125,-704674,-703566.9375
0.046,-702835.3125,-702633.0625,-704143.4375,-703203.9375,-703685.875,-705255.1875,-703623.75,-704188.270833333,-703867.125,-705176.875,-704842,-704628.666666667
0.048,-703284.3125,-702336.75,-702072.75,-702564.604166667,-702717.75,-703409.375,-701512,-702546.375,-703775.375,-703381.25,-703841.5625,-703666.0625
0.05,-702893.8125,-703124.1875,-701761.875,-702593.291666667,-703396.4375,-702710.4375,-701647.6875,-702584.854166667,-703795.5,-702852.875,-703512.3125,-703386.895833333
0.052,-701198.6875,-704445.5,-702106.6875,-702583.625,-703451.9375,-702711.5625,-705249.1875,-703804.229166667,-705401.5625,-703092.75,-704323.5,-704272.604166667
0.054,-702567.25,-702273,-703325.875,-702722.041666667,-704035.9375,-701392.375,-703166.375,-702864.895833333,-705588.875,-702409.375,-704660.125,-704219.458333333
0.056,-703212.8125,-703608.0625,-702702.0625,-703174.3125,-703721.375,-704271.1875,-704706.125,-704232.895833333,-704823.8125,-703174.5,-702381.5625,-703459.958333333
