Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,25.062225,172.166565,63.179428,86.8027393333333,49.942551,-17.819504,13.259888,15.127645,76.157349,204.540405,243.458267,174.718673666667
2,105.738342,-248.510239,192.148453,16.458852,-89.947067,29.55043,204.929199,48.1775206666667,-21.367645,-76.191711,-76.438797,-57.9993843333333
4,-12.777817,-105.989426,250.161118,43.7979583333333,18.60672,67.811249,-41.87915,14.846273,35.793549,-234.70517,-14.284042,-71.065221
6,-239.670441,27.043701,126.896744,-28.5766653333333,16.261475,-206.489059,-282.503418,-157.577000666667,125.972519,192.775711,-40.641174,92.702352
8,10.75853,11.756851,-61.4673,-12.983973,-3.834946,-77.477615,100.290833,6.32609066666667,137.703476,-135.291962,-213.840256,-70.4762473333333
10,20.347015,72.328903,-23.91597,22.9199826666667,255.789764,34.812225,116.340927,135.647638666667,15.663651,-263.974701,-217.468979,-155.260009666667
12,3.269348,41.400742,-149.766693,-35.032201,-2.990692,-70.452698,65.370163,-2.69107566666666,43.638901,61.162506,35.453918,46.751775
14,6.51532,138.338806,-124.114082,6.913348,-56.498245,16.460434,-47.334427,-29.1240793333333,54.455719,-156.593979,112.005096,3.28894533333334
16,59.534485,-75.110764,160.599396,48.341039,-120.80909,200.530304,89.553085,56.4247663333333,-161.925629,57.578995,34.820999,-23.1752116666667
18,6.514023,-57.331131,-131.184357,-60.667155,127.804901,70.026733,144.716797,114.182810333333,-108.74646,57.267395,-187.834656,-79.7712403333333
20,-36.876389,-85.205322,57.563248,-21.5061543333333,-19.769165,153.662949,-70.710831,21.0609843333333,-137.994949,-27.289291,48.735794,-38.849482
22,40.78447,135.97081,-18.10527,52.8833366666667,51.722046,67.244659,12.893875,43.9535266666667,64.477921,-84.569733,31.148468,3.685552
24,-82.452133,-32.063187,-75.055557,-63.1902923333333,-77.186172,-34.668213,-217.574036,-109.809473666667,-53.680893,231.602676,-5.642365,57.4264726666667
26,156.40416,225.994736,147.285004,176.5613,-152.277496,-37.660828,-66.109543,-85.349289,142.344666,30.069489,71.914871,81.4430086666667
28,135.499268,-4.978485,83.749359,71.4233806666667,10.568649,91.445267,51.561172,51.191696,224.517899,357.828308,84.791122,222.379109666667
30,49.433975,18.199341,-129.323486,-20.56339,71.434723,-6.171478,102.3293,55.8641816666667,-45.754333,-20.396408,37.91275,-9.41266366666667
32,188.273239,56.566162,-260.636414,-5.26567100000001,2.477432,54.588943,47.911453,34.9926093333333,96.402069,118.80954,-51.09996,54.703883
34,-46.884598,40.718109,-30.147079,-12.1045226666667,157.029434,-19.483521,70.094666,69.2135263333333,-132.044037,151.893478,-87.021255,-22.3906046666667
36,-33.059326,76.770309,107.839188,50.5167236666667,-2.931335,-40.208267,21.999985,-7.046539,-70.275467,117.810867,-44.275391,1.08666966666667
38,-274.592194,211.645569,117.807861,18.2870786666667,129.139603,-11.111069,-69.949707,16.0262756666667,72.678909,175.359558,-97.321411,50.2390186666667
40,82.877075,113.652664,-6.522415,63.3357746666667,-123.755264,-32.718002,30.830017,-41.881083,-68.758377,84.154724,202.046555,72.4809673333333
42,-88.532562,49.890732,-338.515961,-125.719263666667,32.877869,-81.357559,-13.993164,-20.8242846666667,121.911484,-21.717941,47.318405,49.1706493333333
44,234.95932,-160.430389,-157.318451,-27.5965066666667,-137.724518,83.0504,-44.77887,-33.150996,48.803055,32.286652,-72.470993,2.87290466666667
46,101.845154,-121.955978,336.2052,105.364792,54.752396,-81.265503,-137.389145,-54.634084,110.22438,125.59024,75.801361,103.871993666667
48,79.492752,-136.748535,-73.961304,-43.739029,118.723114,102.418716,27.009216,82.7170153333333,63.672226,56.964584,-38.863327,27.2578276666667
50,-61.313339,41.263779,-189.517471,-69.855677,64.226456,210.230713,1.825134,92.094101,-228.421249,88.933929,-122.998047,-87.4951223333333
52,-102.841576,107.67009,-147.703506,-47.6249973333333,-32.955536,180.603256,128.799194,92.1489713333333,-166.12764,31.238159,46.646912,-29.4141896666667
54,-114.637077,-11.840317,-24.132736,-50.2033766666667,24.693298,-136.060028,-25.435928,-45.600886,-183.484268,-69.658386,-104.972282,-119.371645333333
56,218.136093,155.843033,168.297318,180.758814666667,13.702209,43.223358,226.231201,94.3855893333333,-126.603485,194.11412,-131.86647,-21.451945
58,-127.422501,110.089325,66.041962,16.236262,-111.469109,-57.650787,124.218109,-14.9672623333333,134.682114,-57.222534,157.876648,78.4454093333333
60,-214.315857,186.795013,-103.294083,-43.6049756666667,-36.820496,127.552277,23.484619,38.0721333333333,59.347244,114.561157,-12.040054,53.9561156666667
62,-11.217194,118.156921,84.030304,63.656677,130.200363,177.923218,-13.549973,98.1912026666667,230.280029,-4.738052,-268.035095,-14.1643726666667
64,15.580688,-111.976547,42.132736,-18.0877076666667,-66.705612,80.541977,-29.034286,-5.06597366666667,182.31958,-129.672577,-41.473129,3.72462466666667
66,-66.208298,-81.614243,81.572845,-22.083232,-38.746414,34.812393,171.448303,55.838094,58.709488,46.022095,-12.506592,30.7416636666667
68,-250.175156,-172.091583,163.578873,-86.2292886666667,18.103378,-80.624573,-55.294647,-39.2719473333333,-137.02211,-109.885483,-323.678406,-190.195333
70,34.380814,231.459564,-19.436478,82.1346333333333,222.732422,-153.880798,-5.337448,21.171392,44.258224,-115.417389,-29.266251,-33.4751386666667
72,-18.308929,-184.58812,43.252396,-53.2148843333333,139.855865,-97.755577,-28.809967,4.430107,-43.876251,-61.650757,111.315445,1.929479
74,26.381271,148.890976,106.85228,94.041509,-185.832001,38.983368,-16.471603,-54.4400786666667,-101.022797,109.088608,-7.815903,0.083302666666664
76,74.141632,-154.022034,100.516861,6.87881966666667,-91.122787,-0.925751,-155.225113,-82.4245503333333,-237.505219,111.694504,-208.77533,-111.528681666667
78,40.059586,-92.926743,173.620026,40.2509563333333,114.596893,82.694107,-26.278488,57.0041706666667,-32.309067,-198.802292,24.663498,-68.8159536666667
80,24.935074,-41.540298,75.575867,19.656881,-61.703766,80.613998,-71.120758,-17.4035086666667,-106.327332,-9.674545,232.567444,38.855189
82,-57.273865,16.527008,-88.221497,-42.9894513333333,-117.415054,-35.402817,-100.40538,-84.4077503333334,59.420349,142.822205,-5.047867,65.7315623333333
84,62.31839,24.867004,-13.898331,24.429021,42.994873,18.645264,30.627792,30.7559763333333,124.043488,78.920685,-17.470154,61.8313396666667
86,40.687744,-40.203735,-232.934326,-77.483439,-69.568634,-181.561203,75.545639,-58.528066,-62.261276,-50.209595,-85.24472,-65.905197
88,-103.090103,167.457489,-68.184021,-1.27221166666666,24.741089,87.970917,-186.790527,-24.6928403333333,-93.555145,-127.832008,86.888641,-44.8328373333333
