Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,199.702,199.736,200.668,200.035333333333,194.968,200.148,190.092,195.069333333333,200.687,198.758,197.715,199.053333333333
2,199.751,203.537,200.737,201.341666666667,197.608,200.952,191.304,196.621333333333,199.584,199.882,195.065,198.177
4,196.695,203.013,200.527,200.078333333333,200.097,200.731,190.904,197.244,196.002,203.572,198.905,199.493
6,197.895,202.232,202.091,200.739333333333,198.383,200.972,190.27,196.541666666667,197.421,200.792,196.248,198.153666666667
8,198.849,202.621,200.23,200.566666666667,196.006,200.128,190.922,195.685333333333,199.929,197.038,194.915,197.294
10,201.688,201.199,201.578,201.488333333333,197.521,199.48,190.562,195.854333333333,196.294,202.353,195.648,198.098333333333
12,201.759,202.495,198.763,201.005666666667,196.41,199.362,191.313,195.695,198.568,202.039,196.015,198.874
14,202.1,205.351,200.696,202.715666666667,196.274,199.002,190.992,195.422666666667,199.276,200.309,195.762,198.449
16,200.716,205.041,199.12,201.625666666667,196.546,201.04,190.821,196.135666666667,200.088,200.89,197.928,199.635333333333
18,200.279,205.298,198.305,201.294,195.837,197.861,190.279,194.659,200.767,201.205,197.751,199.907666666667
20,198.714,202.578,196.896,199.396,196.634,198.711,190.263,195.202666666667,198.058,199.031,196.796,197.961666666667
22,201.241,200.574,198.158,199.991,197.583,198.424,189.665,195.224,202.294,200.525,195.501,199.44
24,203.941,200.509,198.305,200.918333333333,201.975,197.947,188.594,196.172,200.052,200.039,198.098,199.396333333333
26,200.741,202.231,195.481,199.484333333333,197.309,199.429,189.818,195.518666666667,198.659,199.392,194.226,197.425666666667
28,200.13,206.051,198.264,201.481666666667,197.263,195.223,190.955,194.480333333333,198.501,200.094,199.401,199.332
30,200.655,203.35,196.331,200.112,197.741,198.785,193.902,196.809333333333,199.832,199.957,198.855,199.548
32,200.392,200.114,198.662,199.722666666667,196.932,198.964,190.539,195.478333333333,196.692,202.309,199.794,199.598333333333
34,196.094,202.335,197.538,198.655666666667,197.55,198.543,188.483,194.858666666667,198.914,202.311,197.453,199.559333333333
36,198.294,201.259,198.718,199.423666666667,198.867,198.273,191.567,196.235666666667,198.563,196.442,194.664,196.556333333333
38,200.461,202.837,200.48,201.259333333333,198.672,198.927,189.358,195.652333333333,197.732,199.14,197.882,198.251333333333
40,198.72,201.671,197.542,199.311,197.628,198.14,188.898,194.888666666667,200.044,199.342,197.449,198.945
42,203.296,203.409,196.717,201.140666666667,197.614,196.862,191.774,195.416666666667,201.235,197.824,199.222,199.427
