Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,307.012054,307.928589,311.306702,308.749115,310.577942,307.848785,309.160461,309.195729333333,312.072449,309.495911,311.842468,311.136942666667
0.002,309.490875,309.594208,309.276123,309.453735333333,311.148346,310.913269,311.121216,311.060943666667,310.699615,309.433929,310.031311,310.054951666667
0.004,310.226227,308.952423,308.446198,309.208282666667,310.608826,310.257294,309.640717,310.168945666667,311.768982,311.837036,308.536957,310.714325
0.006,309.735229,311.349121,308.104584,309.729644666667,305.662689,307.15564,310.473877,307.764068666667,309.72168,310.659241,309.501892,309.960937666667
0.008,312.776154,310.260986,311.42337,311.486836666667,309.466125,307.936249,309.78241,309.061594666667,311.020416,307.145325,310.059753,309.408498
0.01,310.669861,310.415588,311.016388,310.700612333333,312.414185,311.296967,309.046509,310.919220333333,310.126282,309.369232,308.029114,309.174876
0.012,309.705231,307.697174,309.460693,308.954366,310.251831,312.603333,308.080292,310.311818666667,307.963104,310.505341,310.290741,309.586395333333
0.014,310.363525,309.446411,308.881775,309.563903666667,308.808136,309.746246,308.790466,309.114949333333,309.276855,309.721039,308.823029,309.273641
0.016,307.288208,310.577026,309.097534,308.987589333333,309.913757,307.728546,309.866058,309.169453666667,306.925079,309.419922,310.351379,308.898793333333
0.018,311.421753,308.143433,312.201538,310.588908,308.917419,307.811096,308.01358,308.247365,308.300049,310.944824,307.266815,308.837229333333
0.02,309.349548,309.893616,308.760864,309.334676,309.365692,313.151886,310.251221,310.922933,309.813049,307.930664,311.164978,309.636230333333
0.022,308.82251,307.127167,310.730438,308.893371666667,309.031158,310.430298,307.465637,308.975697666667,310.654724,308.486664,312.091644,310.411010666667
0.024,308.566467,310.03244,309.118774,309.239227,310.516998,308.521149,309.790588,309.609578333333,308.571533,309.231689,310.173828,309.325683333333
0.026,309.986176,310.184418,311.050781,310.407125,310.521637,309.998932,309.749237,310.089935333333,309.266327,307.95282,310.238708,309.152618333333
0.028,308.53064,313.973297,306.946014,309.816650333333,310.848877,309.77417,308.833313,309.818786666667,311.590912,310.661865,309.281525,310.511434
0.03,313.309357,308.809906,311.24408,311.121114333333,309.756805,310.15509,308.872101,309.594665333333,307.750732,310.289154,310.267944,309.435943333333
0.032,309.957092,309.823425,309.801056,309.860524333333,307.36853,310.67868,307.358002,308.468404,311.250397,310.470337,308.838043,310.186259
0.034,307.544006,310.784607,311.852631,310.060414666667,311.133545,309.938904,311.033295,310.701914666667,309.928009,310.407867,309.764709,310.033528333333
0.036,310.223358,309.171021,308.455811,309.283396666667,310.809692,311.289581,309.927155,310.675476,312.610291,308.735229,309.995789,310.447103
0.038,312.12616,309.224548,308.411957,309.920888333333,308.597809,312.207214,308.849365,309.884796,309.319427,309.303284,311.500122,310.040944333333
0.04,309.103058,309.242126,308.096985,308.814056333333,310.663635,311.043243,309.29657,310.334482666667,309.889496,311.093872,311.027496,310.670288
0.042,311.093414,311.675079,308.969971,310.579488,309.544739,310.837128,307.4487,309.276855666667,308.459229,309.812592,310.670868,309.647563
0.044,312.598053,307.669189,308.820496,309.695912666667,310.048065,308.727478,312.264008,310.346517,310.500671,309.334167,306.710602,308.84848
