Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,-561632.875,-561166.625,-556435.6875,-559745.0625,-558252.25,-559311.75,-558209.875,-558591.291666667,-557258.9375,-558211.5,-557155.6875,-557542.041666667
2,-556072.875,-560752.75,-558913.875,-558579.833333333,-557150.5625,-555962.0625,-557471.6875,-556861.4375,-558505.75,-560278,-558119.5,-558967.75
4,-559368.1875,-559525.9375,-557775.5625,-558889.895833333,-557524.375,-557791,-559507.9375,-558274.4375,-557908.625,-557951.75,-560063.375,-558641.25
6,-560488.1875,-556513.0625,-560441.25,-559147.5,-560868.1875,-561685.375,-556090.125,-559547.895833333,-558141.25,-559039.9375,-560210.75,-559130.645833333
8,-555318.9375,-556949.5,-559589.6875,-557286.041666667,-557250.75,-559677.5,-560058.1875,-558995.479166667,-558865.25,-559667.875,-558518.5625,-559017.229166667
10,-557113.75,-559365.5,-557776.8125,-558085.354166667,-557981.125,-557957.625,-560211.625,-558716.791666667,-558754,-559616.3125,-560493.9375,-559621.416666667
12,-557797.5,-559955,-556878.9375,-558210.479166667,-557048,-556276,-560437.875,-557920.625,-560971.3125,-557946.3125,-557651.75,-558856.458333333
14,-556871.5,-558215.75,-559321.9375,-558136.395833333,-558362.9375,-560232.6875,-558097.5,-558897.708333333,-560324.25,-558891,-561316.0625,-560177.104166667
16,-560769.625,-557983,-558855.5,-559202.708333333,-557601,-560182.375,-558816,-558866.458333333,-562478.75,-558789.3125,-556846.25,-559371.4375
18,-557535.8125,-558759.25,-556702.8125,-557665.958333333,-558604.25,-559278.25,-559271,-559051.166666667,-560194.875,-557651.6875,-559721.125,-559189.229166667
20,-559756.625,-557891.3125,-560346.25,-559331.395833333,-557818.5,-556513.625,-558895.375,-557742.5,-559039.3125,-558795.6875,-558786.5,-558873.833333333
22,-559071.5,-558441.5,-556655.125,-558056.041666667,-558324.9375,-556731.375,-559154.4375,-558070.25,-557996.6875,-561153.25,-558419.875,-559189.9375
24,-560599.0625,-558510.125,-558697.375,-559268.854166667,-557727.5625,-558475.0625,-560279,-558827.208333333,-560487.375,-560048.875,-559597,-560044.416666667
26,-559100.875,-557405.25,-557436.0625,-557980.729166667,-556315.75,-557528.875,-555957.5,-556600.708333333,-560551.5625,-559789.6875,-558690.0625,-559677.104166667
28,-560343.75,-555796.375,-560870.5,-559003.541666667,-556070.5,-559601.375,-560088.0625,-558586.645833333,-558365.0625,-558160.875,-558647.625,-558391.1875
30,-555171.3125,-559805.875,-556602.875,-557193.354166667,-558262,-559165.25,-559376.75,-558934.666666667,-562665.6875,-559567,-559432.375,-560555.020833333
32,-558178.375,-558641.25,-559082.5,-558634.041666667,-559685.6875,-557763.625,-559024.5,-558824.604166667,-557376.0625,-558845.5,-560494.25,-558905.270833333
34,-559353.5,-558526.8125,-559607.875,-559162.729166667,-556770.125,-558290,-558486.625,-557848.916666667,-558412.8125,-558765.625,-558934.0625,-558704.166666667
36,-558104.875,-557637.8125,-557947.5,-557896.729166667,-558022.5,-558294.5,-558264.75,-558193.916666667,-556972.375,-561510.625,-559809.0625,-559430.6875
38,-557509.375,-557147.4375,-558859.25,-557838.6875,-558623.8125,-556318.5,-557854.9375,-557599.083333333,-558873.25,-558591.5625,-556729.5,-558064.770833333
40,-558700.125,-559453.9375,-559217.3125,-559123.791666667,-559086.625,-558243.5,-558977.875,-558769.333333333,-559474.25,-560596.0625,-558062.625,-559377.645833333
42,-557283.4375,-557552.3125,-559173.5,-558003.083333333,-559365.0625,-558040.125,-558393.25,-558599.479166667,-561473.9375,-559285.125,-557345.9375,-559368.333333333
44,-557375.6875,-558432.0625,-559095.875,-558301.208333333,-558113,-559684.375,-556982.375,-558259.916666667,-558037.6875,-558748.875,-561550.3125,-559445.625
46,-559485.5625,-557262.125,-559247.5,-558665.0625,-559546.3125,-560334.9375,-559626.9375,-559836.0625,-559581.5,-560270.75,-559655.4375,-559835.895833333
48,-558541.3125,-560070.125,-556506.125,-558372.520833333,-558784.3125,-559742.125,-556796.1875,-558440.875,-557762.125,-558052.75,-558148.25,-557987.708333333
50,-558974.6875,-559736.25,-557472.75,-558727.895833333,-558090.375,-558609.625,-556612.75,-557770.916666667,-558213.0625,-558035.1875,-558728.75,-558325.666666667
52,-556664.375,-560104.75,-556753,-557840.708333333,-557530.375,-558902.5,-560257.625,-558896.833333333,-561073.125,-558182.375,-560749.1875,-560001.5625
54,-558481.3125,-557211,-558466.625,-558052.979166667,-559984.9375,-555798.1875,-558609.125,-558130.75,-561021.1875,-557125.625,-561012.375,-559719.729166667
56,-557685.875,-559339.75,-557227.25,-558084.291666667,-559716.75,-560086.8125,-559919.6875,-559907.75,-560574.25,-558378.25,-556761.25,-558571.25
58,-558601.6875,-558805.8125,-555270.875,-557559.458333333,-558775.75,-556375.8125,-555851.9375,-557001.166666667,-559266.75,-559798.5,-557007.375,-558690.875
60,-555975.25,-558016.4375,-559148.8125,-557713.5,-556771,-557596.1875,-559478.75,-557948.645833333,-559944.6875,-560167,-557394.5625,-559168.75
62,-556201,-558171.1875,-559140.5,-557837.5625,-557688.0625,-560567.125,-557896.25,-558717.145833333,-557602.375,-559383.5625,-560096.6875,-559027.541666667
64,-558939.75,-559987.9375,-559114,-559347.229166667,-559237.625,-556623.8125,-559477.3125,-558446.25,-558036.3125,-561670.625,-558686.125,-559464.354166667
66,-559214,-559791.5,-558735.0625,-559246.854166667,-556779.875,-558468.25,-559635.125,-558294.416666667,-558057.9375,-559620.6875,-560060.75,-559246.458333333
68,-557841.1875,-559400.75,-556859.25,-558033.729166667,-559978.75,-557434.5625,-555238.625,-557550.645833333,-558565,-559284.0625,-559165.5625,-559004.875
70,-558078,-558438.4375,-557371.6875,-557962.708333333,-558863.625,-558053.9375,-559347.0625,-558754.875,-559652,-560185.0625,-560042.375,-559959.8125
72,-559512.75,-558048.6875,-559599,-559053.479166667,-557257,-559396.125,-559571,-558741.375,-559710.875,-559507.625,-559146.625,-559455.041666667
74,-557186.875,-557151.6875,-558637.8125,-557658.791666667,-558586.375,-557025,-555257.375,-556956.25,-558193.1875,-559780.8125,-559042.875,-559005.625
76,-555277.125,-558961,-557962.9375,-557400.354166667,-556665.875,-556892.0625,-558586.9375,-557381.625,-560781.5625,-561356.375,-559768,-560635.3125
78,-559732.125,-555792.4375,-559846.625,-558457.0625,-558359.8125,-558735.4375,-557071.25,-558055.5,-561344.25,-561895.0625,-562074,-561771.104166667
80,-558075.4375,-556200.9375,-556951,-557075.791666667,-558281.625,-556566.375,-557966.375,-557604.791666667,-559033.5,-558902.9375,-559520.9375,-559152.458333333
82,-555918.75,-558657,-559099.25,-557891.666666667,-560177.5,-556890.5,-560461.875,-559176.625,-558202.8125,-558879.5,-558997.1875,-558693.166666667
84,-558612.4375,-557752,-557659.4375,-558007.958333333,-557561.3125,-559416.125,-558612.375,-558529.9375,-561552.75,-560513.75,-559608.875,-560558.458333333
86,-558415.375,-557706,-559799.8125,-558640.395833333,-558980,-559485.875,-557600.25,-558688.708333333,-559018.125,-559017.75,-558070.375,-558702.083333333
88,-557566.125,-559125.375,-559023.4375,-558571.645833333,-558598.25,-557731.375,-558391,-558240.208333333,-558475.9375,-558604.3125,-559958.5,-559012.916666667
90,-556915.6875,-557158.125,-557217.8125,-557097.208333333,-558586.3125,-558652.625,-557332.75,-558190.5625,-558414.9375,-559028.9375,-558383.375,-558609.083333333
92,-559248.375,-557673.375,-558589.0625,-558503.604166667,-557743.5,-557750.8125,-556689.25,-557394.520833333,-560529.5,-558779.375,-557902.75,-559070.541666667
94,-558409.5625,-558488.9375,-558114.0625,-558337.520833333,-558134.875,-558902.375,-559771.25,-558936.166666667,-558589.8125,-558241.75,-559848.5,-558893.354166667
96,-559069.9375,-557664.9375,-559532.5625,-558755.8125,-559010.125,-560423,-557406.875,-558946.666666667,-559994.625,-560040.5,-558280.5,-559438.541666667
98,-557404.625,-558840.5,-558334.75,-558193.291666667,-558066.125,-559111.25,-558458.0625,-558545.145833333,-559975.125,-557061.875,-560851.5,-559296.166666667
100,-557304.375,-558387.75,-558546.6875,-558079.604166667,-558647.5,-557766.125,-558000.4375,-558138.020833333,-558156.625,-560355.3125,-558701.875,-559071.270833333
102,-557878,-558978.75,-558818.75,-558558.5,-557665,-557246.125,-558965.3125,-557958.8125,-559056.5625,-558526.5,-559941.625,-559174.895833333
104,-560119.125,-560075.5625,-559760.5,-559985.0625,-558594.8125,-557768.875,-555564.5625,-557309.416666667,-558742.9375,-558127.6875,-558946.75,-558605.791666667
106,-559496.125,-559723.875,-559487.6875,-559569.229166667,-556825.375,-558607.125,-558677.625,-558036.708333333,-559813,-557322.75,-558999.875,-558711.875
108,-557717.25,-557777.75,-557454.75,-557649.916666667,-559267.5,-561797.0625,-559435.5625,-560166.708333333,-560973.875,-560164.3125,-559571.5,-560236.5625
110,-556062.875,-558915.375,-557405.5625,-557461.270833333,-558809.5,-556639.0625,-560976.5625,-558808.375,-559543.75,-560282.625,-558314.75,-559380.375
112,-556331.5,-557626.5,-558003.625,-557320.541666667,-557775.5,-560679.875,-558749.5,-559068.291666667,-557737.625,-559713.25,-558585.0625,-558678.645833333
114,-559790.8125,-558735.75,-561577.9375,-560034.833333333,-558376.625,-558003.5,-557390.3125,-557923.479166667,-558667.4375,-560065.125,-556761.875,-558498.145833333
116,-556260.1875,-556703.875,-559446,-557470.020833333,-557126.875,-559417.4375,-560700.25,-559081.520833333,-559860.375,-559579.5,-557532.5,-558990.791666667
118,-556869.625,-555640.0625,-557178,-556562.5625,-555041.125,-557655.8125,-559632.9375,-557443.291666667,-558509.6875,-560068.9375,-559162.75,-559247.125
120,-557440.6875,-556464.875,-559336.75,-557747.4375,-561141.6875,-557584.75,-558751,-559159.145833333,-558558.125,-557943.9375,-559991.1875,-558831.083333333
122,-559444.9375,-557064.3125,-559823.8125,-558777.6875,-558704.25,-558039.125,-556428.75,-557724.041666667,-559163.875,-559999.6875,-558089.5,-559084.354166667
124,-556540.8125,-558682.875,-560601.8125,-558608.5,-558499.75,-556306.875,-558737.4375,-557848.020833333,-558654.1875,-558915,-560436.4375,-559335.208333333
126,-557592.125,-557231.625,-558292.1875,-557705.3125,-558800.9375,-558675.9375,-558066.25,-558514.375,-559369.9375,-560395.3125,-559777,-559847.416666667
128,-558232,-558159.6875,-560169.6875,-558853.791666667,-559872.5625,-557934.0625,-557845.75,-558550.791666667,-558850.375,-558190.375,-559325.875,-558788.875
130,-558021.375,-559323.0625,-556852.0625,-558065.5,-558126.875,-559098.9375,-559359.125,-558861.645833333,-557668.75,-558025.6875,-558129.375,-557941.270833333
132,-558825.8125,-559975.375,-559288.1875,-559363.125,-558441.375,-556358.9375,-558885.875,-557895.395833333,-559780.75,-557447.25,-557986.875,-558404.958333333
134,-558716.5625,-558055.5625,-560644.5,-559138.875,-558185.25,-559393.6875,-556522.75,-558033.895833333,-560060.5625,-559289.25,-561001,-560116.9375
136,-558909.625,-557084.125,-561629.25,-559207.666666667,-558699.5625,-557706.625,-559637.1875,-558681.125,-558984.25,-560185.25,-557262.3125,-558810.604166667
138,-560330.1875,-558293.0625,-558543.25,-559055.5,-558368.875,-557065.875,-559948.0625,-558460.9375,-559267.5,-559326.5,-558606.9375,-559066.979166667
140,-558171.125,-559249.75,-559914.9375,-559111.9375,-561060.25,-558612.0625,-558026.375,-559232.895833333,-560341.25,-559986.375,-558986.0625,-559771.229166667
142,-557545.5,-559705.625,-559594.0625,-558948.395833333,-556953.0625,-557412.75,-558977.375,-557781.0625,-558836.9375,-557348.5,-560352.5,-558845.979166667
144,-557645.375,-557004,-559250.375,-557966.583333333,-557642.3125,-557225.25,-558261.4375,-557709.666666667,-558525,-558962.8125,-559589.8125,-559025.875
