Time (ns),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
0,562.308777,561.910461,564.928162,563.049133333333,567.005005,566.869751,566.240723,566.705159666667,564.986084,565.3573,564.70166,565.015014666667
0.002,566.748779,565.513062,566.174072,566.145304333333,566.657654,566.303223,564.163513,565.70813,564.390137,566.407532,566.245911,565.681193333333
0.004,563.298462,564.674561,564.009521,563.994181333333,565.552002,565.059814,564.67395,565.095255333333,563.593933,566.503723,564.455811,564.851155666667
0.006,564.184204,563.977234,564.888123,564.349853666667,564.443176,564.563843,565.950439,564.985819333333,563.891663,563.977234,563.638123,563.835673333333
0.008,565.981567,564.553589,565.689636,565.408264,566.192688,566.089539,564.2854,565.522542333333,563.790771,566.129089,566.217407,565.379089
0.01,564.951355,563.03125,564.692993,564.225199333333,564.18866,565.481201,564.869263,564.846374666667,561.869812,565.622253,566.703308,564.731791
0.012,564.130859,565.495728,565.009338,564.878641666667,564.981567,566.560791,563.208435,564.916931,563.356201,564.547668,565.418579,564.440816
0.014,563.396851,564.422791,565.371216,564.396952666667,565.700684,562.599243,566.392517,564.897481333333,564.148315,567.005737,565.13678,565.430277333333
0.016,564.401306,565.740173,562.508911,564.216796666667,565.982605,563.131592,564.780457,564.631551333333,563.97467,565.837952,565.619446,565.144022666667
0.018,564.473511,565.244202,563.94043,564.552714333333,564.549744,564.161133,565.163574,564.624817,565.041382,567.278076,565.802124,566.040527333333
0.02,566.22699,565.105286,564.411194,565.247823333333,565.325684,566.052368,564.677002,565.351684666667,565.368164,564.812927,565.036926,565.072672333333
0.022,563.888306,562.697815,565.086792,563.890971,565.542297,565.376892,564.502441,565.140543333333,564.948669,563.292969,563.716187,563.985941666667
0.024,563.335449,566.234009,564.548645,564.706034333333,567.320496,565.631165,566.603149,566.51827,564.698608,564.283752,566.474731,565.152363666667
0.026,564.280823,565.697693,563.684631,564.554382333333,566.710022,565.883301,567.876404,566.823242333333,564.059998,564.458191,564.158997,564.225728666667
0.028,564.102539,563.747559,562.326416,563.392171333333,567.176819,565.290527,564.479248,565.648864666667,563.244507,564.007507,565.424805,564.225606333333
0.03,565.159912,563.381104,565.532837,564.691284333333,563.860413,564.631836,563.150635,563.880961333333,564.423157,565.468201,564.863281,564.918213
0.032,564.478271,564.328613,563.420898,564.075927333333,565.740295,564.481323,563.198608,564.473408666667,563.575806,564.802795,564.81543,564.398010333333
0.034,564.6745,564.862427,563.677307,564.404744666667,564.598206,566.178955,563.568542,564.781901,565.642578,565.894897,565.119385,565.552286666667
0.036,565.357788,565.314575,564.882385,565.184916,565.606262,563.321106,563.926025,564.284464333333,566.316711,564.702332,564.942749,565.320597333333
0.038,565.179626,564.976868,565.061707,565.072733666667,563.914124,566.456177,565.649719,565.340006666667,565.687134,563.90802,564.653137,564.749430333333
0.04,564.033386,564.599182,564.553528,564.395365333333,565.237122,564.471802,565.064148,564.924357333333,566.24054,564.201538,564.44165,564.961242666667
0.042,564.546936,563.971375,566.721802,565.080037666667,563.58606,567.044922,564.714233,565.115071666667,564.583801,564.477356,564.21698,564.426045666667
0.044,564.67395,565.977722,567.034668,565.895446666667,564.412537,564.399475,565.525879,564.779297,564.94519,566.276489,564.198914,565.140197666667
0.046,563.502014,565.286377,564.277527,564.355306,564.657288,566.57373,567.092651,566.107889666667,564.264954,564.688354,563.335266,564.096191333333
0.048,563.293579,565.741638,566.042297,565.025838,565.174683,564.872192,565.991455,565.34611,565.360901,564.024475,563.63324,564.339538666667
0.05,565.505798,563.359131,566.950134,565.271687666667,564.558105,564.24646,564.665955,564.490173333333,565.708191,565.373047,564.587341,565.222859666667
0.052,568.093323,564.630859,564.089844,565.604675333333,564.664612,566.037659,563.269653,564.657308,563.372498,565.824097,565.070984,564.755859666667
0.054,566.268799,564.259705,566.52948,565.685994666667,563.703491,564.333252,565.166077,564.40094,564.172791,567.046814,562.991882,564.737162333333
0.056,563.6922,562.887268,563.367554,563.315674,564.339722,565.074585,564.212646,564.542317666667,564.503052,564.046997,565.851929,564.800659333333
0.058,564.647888,563.769226,563.620422,564.012512,563.590942,563.790283,566.499695,564.626973333333,564.60144,565.164612,565.246948,565.004333333333
0.06,567.127136,566.090454,565.046875,566.088155,565.456482,564.261719,565.383362,565.033854333333,564.827332,562.801147,564.36145,563.996643
0.062,567.164307,563.388733,565.94342,565.49882,565.947937,564.538391,562.902466,564.462931333333,564.834717,565.282837,565.595764,565.237772666667
0.064,564.959839,562.742188,566.208557,564.636861333333,563.905884,565.847656,563.862427,564.538655666667,565.076843,564.184204,565.321777,564.860941333333
0.066,563.653687,564.884277,563.685791,564.074585,566.29834,564.368225,563.867981,564.844848666667,565.06073,563.49646,563.523682,564.026957333333
